 e-Rb scattering
      k(a.u.)   energy(eV)      ^1S         ^3S          ^1P          ^3P
 #  0.2730E+00   0.1014E+01  -0.2440E+01  -0.1492E+01   0.3292E+00   0.1457E+01
 #  0.2760E+00   0.1036E+01  -0.2460E+01  -0.1509E+01   0.3273E+00   0.1446E+01
 #  0.2790E+00   0.1059E+01  -0.2479E+01  -0.1525E+01   0.3254E+00   0.1435E+01
 #  0.2820E+00   0.1082E+01  -0.2499E+01  -0.1542E+01   0.3234E+00   0.1424E+01
 #  0.2850E+00   0.1105E+01  -0.2518E+01  -0.1558E+01   0.3214E+00   0.1413E+01
 #  0.2880E+00   0.1128E+01  -0.2537E+01  -0.1574E+01   0.3194E+00   0.1402E+01
 #  0.2910E+00   0.1152E+01  -0.2556E+01  -0.1590E+01   0.3173E+00   0.1391E+01
 #  0.2940E+00   0.1176E+01  -0.2575E+01  -0.1606E+01   0.3151E+00   0.1380E+01
 #  0.2970E+00   0.1200E+01  -0.2594E+01  -0.1622E+01   0.3129E+00   0.1370E+01
 #  0.3000E+00   0.1224E+01  -0.2613E+01  -0.1638E+01   0.3106E+00   0.1359E+01
